date;heure;PA04C;A1;AUT;AUB;BASCH;PA01H
;;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3
01/03/2017;1;n/d;0;0;0;0;n/d
01/03/2017;2;n/d;0;0;0;0;n/d
01/03/2017;3;n/d;0;0;0;0;n/d
01/03/2017;4;n/d;0;0;0;0;n/d
01/03/2017;5;n/d;0;0;0;0;n/d
01/03/2017;6;n/d;0;0;0;0;n/d
01/03/2017;7;n/d;0;0;0;0;n/d
01/03/2017;8;n/d;1;1;0;1;n/d
01/03/2017;9;n/d;1;1;0;1;n/d
01/03/2017;10;n/d;0;0;0;1;n/d
01/03/2017;11;n/d;0;0;0;0;n/d
01/03/2017;12;n/d;0;0;0;0;n/d
01/03/2017;13;n/d;0;0;0;0;n/d
01/03/2017;14;0;0;0;0;1;n/d
01/03/2017;15;0;0;0;0;1;n/d
01/03/2017;16;0;0;0;0;0;n/d
01/03/2017;17;n/d;1;0;0;0;n/d
01/03/2017;18;0;1;1;0;1;n/d
01/03/2017;19;0;1;1;0;1;n/d
01/03/2017;20;0;1;1;0;1;n/d
01/03/2017;21;0;0;0;0;0;n/d
01/03/2017;22;0;0;0;0;0;n/d
01/03/2017;23;0;0;0;0;0;n/d
01/03/2017;24;0;0;0;0;0;n/d
02/03/2017;1;n/d;0;0;0;0;n/d
02/03/2017;2;0;0;0;0;0;n/d
02/03/2017;3;0;0;0;0;0;n/d
02/03/2017;4;0;0;0;0;0;n/d
02/03/2017;5;n/d;0;0;0;0;n/d
02/03/2017;6;n/d;0;0;0;0;n/d
02/03/2017;7;n/d;1;1;0;0;n/d
02/03/2017;8;n/d;1;1;0;0;n/d
02/03/2017;9;0;1;1;0;0;n/d
02/03/2017;10;0;0;0;0;0;n/d
02/03/2017;11;0;0;0;0;0;n/d
02/03/2017;12;0;0;0;0;0;n/d
02/03/2017;13;n/d;0;0;0;0;n/d
02/03/2017;14;n/d;0;1;0;0;n/d
02/03/2017;15;n/d;0;1;0;0;n/d
02/03/2017;16;n/d;1;1;0;0;n/d
02/03/2017;17;n/d;1;1;0;1;n/d
02/03/2017;18;n/d;1;1;0;1;n/d
02/03/2017;19;n/d;1;1;0;1;n/d
02/03/2017;20;n/d;0;1;0;1;n/d
02/03/2017;21;n/d;0;1;0;1;n/d
02/03/2017;22;n/d;0;0;0;1;n/d
02/03/2017;23;n/d;1;0;0;1;n/d
02/03/2017;24;n/d;1;0;0;1;n/d
03/03/2017;1;0;0;0;0;0;n/d
03/03/2017;2;0;0;0;0;0;n/d
03/03/2017;3;0;0;0;0;0;n/d
03/03/2017;4;0;0;0;0;0;n/d
03/03/2017;5;0;0;0;0;0;n/d
03/03/2017;6;0;0;0;0;0;n/d
03/03/2017;7;0;0;0;0;1;n/d
03/03/2017;8;0;1;1;0;1;n/d
03/03/2017;9;0;1;1;0;1;n/d
03/03/2017;10;0;0;0;0;1;n/d
03/03/2017;11;0;1;0;0;1;n/d
03/03/2017;12;0;1;0;0;1;n/d
03/03/2017;13;0;1;0;0;1;n/d
03/03/2017;14;0;1;0;0;1;n/d
03/03/2017;15;0;1;0;0;1;n/d
03/03/2017;16;0;1;0;0;1;n/d
03/03/2017;17;0;1;1;0;1;n/d
03/03/2017;18;1;1;1;0;1;n/d
03/03/2017;19;1;1;1;0;1;n/d
03/03/2017;20;1;1;1;0;1;n/d
03/03/2017;21;1;1;1;0;1;n/d
03/03/2017;22;0;1;0;0;1;n/d
03/03/2017;23;0;0;0;0;1;n/d
03/03/2017;24;0;0;0;0;1;n/d
04/03/2017;1;0;0;0;0;0;n/d
04/03/2017;2;0;0;0;0;0;n/d
04/03/2017;3;0;0;0;0;0;n/d
04/03/2017;4;0;0;0;0;0;n/d
04/03/2017;5;0;0;0;0;0;n/d
04/03/2017;6;0;0;0;0;0;n/d
04/03/2017;7;0;0;0;0;0;n/d
04/03/2017;8;0;0;0;0;0;n/d
04/03/2017;9;0;0;1;0;1;n/d
04/03/2017;10;0;0;1;0;1;n/d
04/03/2017;11;0;0;1;0;0;n/d
04/03/2017;12;0;0;1;0;1;n/d
04/03/2017;13;0;0;1;0;1;n/d
04/03/2017;14;1;0;1;0;0;n/d
04/03/2017;15;0;0;1;0;1;n/d
04/03/2017;16;0;1;1;0;1;n/d
04/03/2017;17;0;0;1;0;0;n/d
04/03/2017;18;0;0;1;1;1;n/d
04/03/2017;19;0;0;1;0;1;n/d
04/03/2017;20;0;0;1;0;1;n/d
04/03/2017;21;0;0;0;0;0;n/d
04/03/2017;22;0;0;0;0;0;n/d
04/03/2017;23;0;0;0;0;0;n/d
04/03/2017;24;0;0;0;0;0;n/d
05/03/2017;1;0;0;0;0;0;n/d
05/03/2017;2;0;0;0;0;0;n/d
